ID,Treatment,NO,Nvalue,Value,R,AL,Day,log_value
1,VR_VAL,2.788780444,2.79,212.85,0,0,1,1.332366019
2,VR_VAL,1.101774848,1.1,84.09,0,0,1,0.741937345
3,VR_VAL,0.04014037,0.04,3.06,0,0,1,0.039220713
4,R_VAL,5.377845183,5.38,410.45,1,0,1,1.853168097
5,R_VAL,5.188203363,5.19,395.98,1,0,1,1.822935087
6,R_VAL,6.125573436,6.13,467.52,1,0,1,1.964311234
7,VR_AL,0.594754963,0.59,45.39,0,1,1,0.463734016
8,VR_AL,0.730717733,0.73,55.77,0,1,1,0.548121409
9,VR_AL,0.775605163,0.78,59.2,0,1,1,0.576613364
10,R_AL,8.01568503,8.02,611.78,1,1,1,2.199444334
11,R_AL,6.049132385,6.05,461.68,1,1,1,1.953027617
12,R_AL,6.550941763,6.55,499.98,1,1,1,2.021547563
13,VR_VAL,1.947677002,1.95,107.46,0,0,2,1.08180517
14,VR_VAL,NA,0,0,0,0,2,0
15,VR_VAL,1.677262512,1.68,92.54,0,0,2,0.985816795
16,R_VAL,7.657281791,7.66,422.48,1,0,2,2.158714723
17,R_VAL,7.523709936,7.52,415.11,1,0,2,2.142416341
18,R_VAL,8.202582372,8.2,452.56,1,0,2,2.219203484
19,VR_AL,0.769843886,0.77,42.47,0,1,2,0.570979547
20,VR_AL,0.495835809,0.5,27.36,0,1,2,0.405465108
21,VR_AL,3.072471792,3.07,169.52,0,1,2,1.403642999
22,R_AL,9.290387532,9.29,512.58,1,1,2,2.33117255
23,R_AL,8.458488185,8.46,466.68,1,1,2,2.247072383
24,R_AL,8.478356484,8.48,467.78,1,1,2,2.249184316