ID,Treatment,NO,Nvalue,Value,R,FL,Day,log_value
1,VR_VFL,1.258964206,1.26,79.64,0,0,1,0.231111721
2,VR_VFL,1.34488661,1.34,85.07,0,0,1,0.292669614
3,VR_VFL,2.138752743,2.14,135.29,0,0,1,0.760805829
4,R_VFL,3.803670111,3.8,240.61,1,0,1,1.335001067
5,R_VFL,5.811062879,5.81,367.59,1,0,1,1.759580571
6,R_VFL,7.639458177,7.64,483.24,1,0,1,2.033397603
7,VR_FL,1.335050417,1.34,84.45,0,1,1,0.292669614
8,VR_FL,0.652038645,0.65,41.25,0,1,1,-0.430782916
9,VR_FL,2.080702835,2.08,131.62,0,1,1,0.732367894
10,R_FL,6.560995928,6.56,415.02,1,1,1,1.880990603
11,R_FL,4.710425283,4.71,297.96,1,1,1,1.549687908
12,R_FL,5.910249991,5.91,373.86,1,1,1,1.776645831
13,VR_VFL,5.491698708,5.49,222.1,0,0,2,1.702928256
14,VR_VFL,1.801730411,1.8,72.87,0,0,2,0.587786665
15,VR_VFL,0.124490103,0.12,5.03,0,0,2,-2.120263536
16,R_VFL,16.9676156,16.97,686.21,1,0,2,2.831447079
17,R_VFL,14.85327797,14.85,600.71,1,0,2,2.697999865
18,R_VFL,18.89706382,18.9,764.25,1,0,2,2.939161922
19,VR_FL,2.087981563,2.09,84.44,0,1,2,0.737164066
20,VR_FL,1.009156108,1.01,40.81,0,1,2,0.009950331
21,VR_FL,2.497915057,2.5,101.02,0,1,2,0.916290732
22,R_FL,26.6250995,26.63,1076.79,1,1,2,3.2820384
23,R_FL,20.32822242,20.33,822.13,1,1,2,3.012097628
24,R_FL,24.29101679,24.29,982.39,1,1,2,3.190064743
25,VR_VFL,1.991341889,1.99,61.41,0,0,3,0.688134639
26,VR_VFL,4.141981776,4.14,127.73,0,0,3,1.420695788
27,VR_VFL,3.594881499,3.59,110.86,0,0,3,1.278152203
28,R_VFL,7.289985858,7.29,224.81,1,0,3,1.986503546
29,R_VFL,6.489897009,6.49,200.14,1,0,3,1.870262531
30,R_VFL,7.184095127,7.18,221.54,1,0,3,1.971299383
31,VR_FL,3.514424509,3.51,108.38,0,1,3,1.255616037
32,VR_FL,1.334523539,1.33,41.15,0,1,3,0.285178942
33,VR_FL,3.217519539,3.22,99.22,0,1,3,1.16938136
34,R_FL,8.633908832,8.63,266.25,1,1,3,2.155244505
35,R_FL,6.413858065,6.41,197.79,1,1,3,1.857859271
36,R_FL,6.61885048,6.62,204.11,1,1,3,1.89009537