ID,Treatment,NO,Nvalue,Value,R,HCA,Day,log_value
1,VR_VHCA,0.643949064,0.64,50.32,0,0,1,0.494696242
2,VR_VHCA,2.554668409,2.55,199.62,0,0,1,1.266947603
3,VR_VHCA,0.640756487,0.64,50.07,0,0,1,0.494696242
4,R_VHCA,16.07477024,16.07,1256.05,1,0,1,2.837322537
5,R_VHCA,14.64036073,14.64,1143.96,1,0,1,2.749831735
6,R_VHCA,15.24440373,15.24,1191.16,1,0,1,2.787477335
7,VR_HCA,2.45247741,2.45,191.63,0,1,1,1.238374231
8,VR_HCA,1.400176157,1.4,109.41,0,1,1,0.875468737
9,VR_HCA,0.685273279,0.69,53.55,0,1,1,0.524728529
10,R_HCA,17.25353694,17.25,1348.15,1,1,1,2.90416508
11,R_HCA,13.02202404,13.02,1017.51,1,1,1,2.640484882
12,R_HCA,14.76747262,14.77,1153.9,1,1,1,2.758109401
13,VR_VHCA,2.174880243,2.17,116.49,0,0,2,1.153731588
14,VR_VHCA,2.39766166,2.4,128.42,0,0,2,1.223775432
15,VR_VHCA,1.028509151,1.03,55.09,0,0,2,0.708035793
16,R_VHCA,15.99168924,15.99,856.54,1,0,2,2.832624936
17,R_VHCA,13.83998304,13.84,741.29,1,0,2,2.697326238
18,R_VHCA,12.97167381,12.97,694.78,1,0,2,2.636912173
19,VR_HCA,1.502568679,1.5,80.48,0,1,2,0.916290732
20,VR_HCA,4.189317767,4.19,224.39,0,1,2,1.646733697
21,VR_HCA,1.723937993,1.72,92.34,0,1,2,1.00063188
22,R_HCA,16.8027492,16.8,899.98,1,1,2,2.879198457
23,R_HCA,16.27087272,16.27,871.49,1,1,2,2.848970892
24,R_HCA,17.57253078,17.57,941.21,1,1,2,2.921547375
25,VR_VHCA,2.073562322,2.07,109.97,0,0,3,1.121677562
26,VR_VHCA,NA,0,0,0,0,3,0
27,VR_VHCA,1.697409238,1.7,90.03,0,0,3,0.993251773
28,R_VHCA,12.33032937,12.33,653.96,1,0,3,2.590017134
29,R_VHCA,9.936874362,9.94,527.02,1,0,3,2.392425797
30,R_VHCA,10.83883005,10.84,574.86,1,0,3,2.471483629
31,VR_HCA,1.235458071,1.24,65.52,0,1,3,0.806475866
32,VR_HCA,0.378134769,0.38,20.06,0,1,3,0.322083499
33,VR_HCA,2.214545074,2.21,117.45,0,1,3,1.166270937
34,R_HCA,13.5172233,13.52,716.91,1,1,3,2.675527009
35,R_HCA,13.81853201,13.82,732.89,1,1,3,2.69597762
36,R_HCA,13.98322178,13.98,741.62,1,1,3,2.706715978
37,VR_VHCA,1.359291138,1.36,34.21,0,0,4,0.858661619
38,VR_VHCA,4.799999679,4.8,120.8,0,0,4,1.757857918
39,VR_VHCA,5.76146798,5.76,144.99,0,0,4,1.91102289
40,R_VHCA,9.404201726,9.4,236.67,1,0,4,2.341805806
41,R_VHCA,4.689863553,4.69,118.03,1,0,4,1.738710248
42,R_VHCA,6.103987514,6.1,153.61,1,0,4,1.960094784
43,VR_HCA,0.559369419,0.56,14.08,0,1,4,0.444685821
44,VR_HCA,0.435619725,0.44,10.96,0,1,4,0.364643114
45,VR_HCA,0.166679601,0.17,4.19,0,1,4,0.157003749
46,R_HCA,5.900527639,5.9,148.49,1,1,4,1.931521412
47,R_HCA,5.038829942,5.04,126.81,1,1,4,1.798404012
48,R_HCA,6.378486058,6.38,160.52,1,1,4,1.998773639
49,VR_VHCA,2.971761192,2.97,117.29,0,0,5,1.378766095
50,VR_VHCA,NA,0,0,0,0,5,0
51,VR_VHCA,2.095718913,2.1,82.71,0,0,5,1.131402111
52,R_VHCA,7.571611031,7.57,298.83,1,0,5,2.148267733
53,R_VHCA,6.476708939,6.48,255.62,1,0,5,2.012232792
54,R_VHCA,6.247022192,6.25,246.55,1,0,5,1.981001469
55,VR_HCA,1.199990755,1.2,47.36,0,1,5,0.78845736
56,VR_HCA,0.750225059,0.75,29.61,0,1,5,0.559615788
57,VR_HCA,2.723850131,2.72,107.5,0,1,5,1.313723668
58,R_HCA,8.817291343,8.82,348,1,1,5,2.284421122
59,R_HCA,7.906485777,7.91,312.05,1,1,5,2.187174241
60,R_HCA,7.627443572,7.63,301.03,1,1,5,2.155244505