ID,Treatment,CP,Cvalue,Value,LPS,HCA,Day,log_value
1,VLPS_VHCA,0.0588168,0.06,53.96,0,0,1,-2.813410717
2,VLPS_VHCA,0.09536029,0.1,87.48,0,0,1,-2.302585093
3,VLPS_VHCA,0.17285043,0.17,158.57,0,0,1,-1.771956842
4,LPS_VHCA,0.15078036,0.15,138.32,1,0,1,-1.897119985
5,LPS_VHCA,0.08360739,0.08,76.7,1,0,1,-2.525728644
6,LPS_VHCA,0.17899436,0.18,164.2,1,0,1,-1.714798428
7,VLPS_HCA,0.13479022,0.13,123.65,0,1,1,-2.040220829
8,VLPS_HCA,0.14709486,0.15,134.94,0,1,1,-1.897119985
9,VLPS_HCA,0.1242432,0.12,113.97,0,1,1,-2.120263536
10,LPS_HCA,0.1035526,0.1,94.99,1,1,1,-2.302585093
11,LPS_HCA,0.14505886,0.15,133.07,1,1,1,-1.897119985
12,LPS_HCA,0.18472082,0.18,169.45,1,1,1,-1.714798428
13,VLPS_VHCA,0.1311606,0.13,88.45,0,0,2,-2.040220829
14,VLPS_VHCA,0.13861506,0.14,93.47,0,0,2,-1.966112856
15,VLPS_VHCA,0.17511292,0.18,118.08,0,0,2,-1.714798428
16,LPS_VHCA,0.07726801,0.08,52.1,1,0,2,-2.525728644
17,LPS_VHCA,0.0976831,0.1,65.87,1,0,2,-2.302585093
18,LPS_VHCA,0.14321232,0.14,96.57,1,0,2,-1.966112856
19,VLPS_HCA,0.13654092,0.14,92.07,0,1,2,-1.966112856
20,VLPS_HCA,0.1021269,0.1,68.87,0,1,2,-2.302585093
21,VLPS_HCA,0.09222081,0.09,62.19,0,1,2,-2.407945609
22,LPS_HCA,0.08071554,0.08,54.43,1,1,2,-2.525728644
23,LPS_HCA,0.12533699,0.13,84.52,1,1,2,-2.040220829
24,LPS_HCA,0.1037541,0.1,69.96,1,1,2,-2.302585093
25,VLPS_VHCA,0.03626759,0.04,106.86,0,0,3,-3.218875825
26,VLPS_VHCA,0.02945307,0.03,86.78,0,0,3,-3.506557897
27,VLPS_VHCA,0.03610086,0.04,106.37,0,0,3,-3.218875825
28,LPS_VHCA,0.05038325,0.05,148.45,1,0,3,-2.995732274
29,LPS_VHCA,0.0523944,0.05,154.37,1,0,3,-2.995732274
30,LPS_VHCA,0.04647258,0.05,136.92,1,0,3,-2.995732274
31,VLPS_HCA,0.05617969,0.06,165.52,0,1,3,-2.813410717
32,VLPS_HCA,0.06479559,0.06,190.91,0,1,3,-2.813410717
33,VLPS_HCA,0.10828172,0.11,319.03,0,1,3,-2.207274913
34,LPS_HCA,0.08612425,0.09,253.75,1,1,3,-2.407945609
35,LPS_HCA,0.10447097,0.1,307.81,1,1,3,-2.302585093
36,LPS_HCA,0.13244415,0.13,390.22,1,1,3,-2.040220829
37,VLPS_VHCA,0.08815133,0.09,81.7,0,0,4,-2.407945609
38,VLPS_VHCA,0.11367821,0.11,105.35,0,0,4,-2.207274913
39,VLPS_VHCA,0.12187487,0.12,112.95,0,0,4,-2.120263536
40,LPS_VHCA,0.10264989,0.1,95.13,1,0,4,-2.302585093
41,LPS_VHCA,0.10085837,0.1,93.47,1,0,4,-2.302585093
42,LPS_VHCA,0.09011044,0.09,83.51,1,0,4,-2.407945609
43,VLPS_HCA,0.08532852,0.09,79.08,0,1,4,-2.407945609
44,VLPS_HCA,0.1182603,0.12,109.6,0,1,4,-2.120263536
45,VLPS_HCA,0.1218848,0.12,112.96,0,1,4,-2.120263536
46,LPS_HCA,0.12469839,0.12,115.57,1,1,4,-2.120263536
47,LPS_HCA,0.11955349,0.12,110.8,1,1,4,-2.120263536
48,LPS_HCA,0.14880184,0.15,137.91,1,1,4,-1.897119985
49,VLPS_VHCA,0.03525684,0.04,50.15,0,0,5,-3.218875825
50,VLPS_VHCA,0.06807862,0.07,96.83,0,0,5,-2.659260037
51,VLPS_VHCA,0.107587,0.11,153.02,0,0,5,-2.207274913
52,LPS_VHCA,0.13580548,0.14,193.16,1,0,5,-1.966112856
53,LPS_VHCA,0.14142893,0.14,201.16,1,0,5,-1.966112856
54,LPS_VHCA,0.17024774,0.17,242.15,1,0,5,-1.771956842
55,VLPS_HCA,0.09095584,0.09,129.37,0,1,5,-2.407945609
56,VLPS_HCA,0.10118484,0.1,143.92,0,1,5,-2.302585093
57,VLPS_HCA,0.16751899,0.17,238.27,0,1,5,-1.771956842
58,LPS_HCA,0.26238491,0.26,373.2,1,1,5,-1.347073648
59,LPS_HCA,0.29885287,0.3,425.07,1,1,5,-1.203972804
60,LPS_HCA,0.44450707,0.44,632.23,1,1,5,-0.820980552