ID,Treatment,CP,Cvalue,Value,R,AL,Day,log_value
1,VR_VAL,0.068173051,0.07,55.9,0,0,1,-2.659260037
2,VR_VAL,0.156235153,0.16,128.1,0,0,1,-1.832581464
3,VR_VAL,0.141473853,0.14,116,0,0,1,-1.966112856
4,R_VAL,0.102433591,0.1,83.99,1,0,1,-2.302585093
5,R_VAL,0.135662092,0.14,111.23,1,0,1,-1.966112856
6,R_VAL,0.152627033,0.15,125.14,1,0,1,-1.897119985
7,VR_AL,0.068126371,0.07,55.86,0,1,1,-2.659260037
8,VR_AL,0.118048691,0.12,96.79,0,1,1,-2.120263536
9,VR_AL,0.127992625,0.13,104.95,0,1,1,-2.040220829
10,R_AL,0.129403376,0.13,106.1,1,1,1,-2.040220829
11,R_AL,0.138617729,0.14,113.66,1,1,1,-1.966112856
12,R_AL,0.139856697,0.14,114.67,1,1,1,-1.966112856
13,VR_VAL,0.068173051,0.07,79.38,0,0,2,-2.659260037
14,VR_VAL,0.156235153,0.16,110.99,0,0,2,-1.832581464
15,VR_VAL,0.141473853,0.14,109.63,0,0,2,-1.966112856
16,R_VAL,0.102433591,0.1,61.66,1,0,2,-2.302585093
17,R_VAL,0.135662092,0.14,81.15,1,0,2,-1.966112856
18,R_VAL,0.152627033,0.15,68,1,0,2,-1.897119985
19,VR_AL,0.068126371,0.07,136.88,0,1,2,-2.659260037
20,VR_AL,0.118048691,0.12,108.19,0,1,2,-2.120263536
21,VR_AL,0.127992625,0.13,109.58,0,1,2,-2.040220829
22,R_AL,0.129403376,0.13,82.4,1,1,2,-2.040220829
23,R_AL,0.138617729,0.14,114.23,1,1,2,-1.966112856
24,R_AL,0.139856697,0.14,97.13,1,1,2,-1.966112856