ID,Treatment,CP,Cvalue,Value,R,FL,Day,log_value
1,VR_VFL,0.065554006,0.07,62.85,0,0,1,-2.659260037
2,VR_VFL,0.090510004,0.09,86.78,0,0,1,-2.407945609
3,VR_VFL,0.156825242,0.16,150.36,0,0,1,-1.832581464
4,R_VFL,0.079259059,0.08,75.99,1,0,1,-2.525728644
5,R_VFL,0.14778018,0.15,141.69,1,0,1,-1.897119985
6,R_VFL,0.172907427,0.17,165.78,1,0,1,-1.771956842
7,VR_FL,0.080830716,0.08,77.5,0,1,1,-2.525728644
8,VR_FL,0.158991222,0.16,152.44,0,1,1,-1.832581464
9,VR_FL,0.166301872,0.17,159.45,0,1,1,-1.771956842
10,R_FL,0.109041739,0.11,104.55,1,1,1,-2.207274913
11,R_FL,0.2133137,0.21,204.53,1,1,1,-1.560647748
12,R_FL,0.183174222,0.18,175.63,1,1,1,-1.714798428
13,VR_VFL,0.117351193,0.12,81.19,0,0,2,-2.120263536
14,VR_VFL,0.158681564,0.16,109.78,0,0,2,-1.832581464
15,VR_VFL,0.157608997,0.16,109.04,0,0,2,-1.832581464
16,R_VFL,0.194923611,0.19,134.85,1,0,2,-1.660731207
17,R_VFL,0.135644853,0.14,93.84,1,0,2,-1.966112856
18,R_VFL,0.151394723,0.15,104.74,1,0,2,-1.897119985
19,VR_FL,0.289534353,0.29,200.3,0,1,2,-1.237874356
20,VR_FL,0.264609099,0.26,183.06,0,1,2,-1.347073648
21,VR_FL,0.21772941,0.22,150.63,0,1,2,-1.514127733
22,R_FL,0.377244675,0.38,260.98,1,1,2,-0.967584026
23,R_FL,0.382601466,0.38,264.69,1,1,2,-0.967584026
24,R_FL,0.388482617,0.39,268.76,1,1,2,-0.94160854
25,VR_VFL,0.023049588,0.02,99.1,0,0,3,-3.912023005
26,VR_VFL,0.020536297,0.02,88.3,0,0,3,-3.912023005
27,VR_VFL,0.026189208,0.03,112.6,0,0,3,-3.506557897
28,R_VFL,0.027424205,0.03,117.91,1,0,3,-3.506557897
29,R_VFL,0.034898555,0.03,150.05,1,0,3,-3.506557897
30,R_VFL,0.027883899,0.03,119.89,1,0,3,-3.506557897
31,VR_FL,0.025021139,0.03,107.58,0,1,3,-3.506557897
32,VR_FL,0.021009135,0.02,90.33,0,1,3,-3.912023005
33,VR_FL,0.023762676,0.02,102.17,0,1,3,-3.912023005
34,R_FL,0.032784946,0.03,140.96,1,1,3,-3.506557897
35,R_FL,0.036846263,0.04,158.42,1,1,3,-3.218875825
36,R_FL,0.036571332,0.04,157.24,1,1,3,-3.218875825
37,VR_VFL,0.056492856,0.06,74.44,0,0,4,-2.813410717
38,VR_VFL,0.09889332,0.1,130.31,0,0,4,-2.302585093
39,VR_VFL,0.072285207,0.07,95.25,0,0,4,-2.659260037
40,R_VFL,0.11335773,0.11,149.37,1,0,4,-2.207274913
41,R_VFL,0.113131411,0.11,149.07,1,0,4,-2.207274913
42,R_VFL,0.10945002,0.11,144.22,1,0,4,-2.207274913
43,VR_FL,0.120193299,0.12,158.38,0,1,4,-2.120263536
44,VR_FL,0.129181185,0.13,170.22,0,1,4,-2.040220829
45,VR_FL,0.105660459,0.11,139.23,0,1,4,-2.207274913
46,R_FL,0.126929793,0.13,167.25,1,1,4,-2.040220829
47,R_FL,0.132811437,0.13,175,1,1,4,-2.040220829
48,R_FL,0.158661511,0.16,209.07,1,1,4,-1.832581464