ID,Treatment,CP,Cvalue,Value,RHCA,SB,Day,log_value
1,VR_VHCA_VSB,0.029119651,0.03,98.39,0,0,1,-3.506557897
2,VR_VHCA_VSB,0.029933227,0.03,101.14,0,0,1,-3.506557897
3,VR_VHCA_VSB,0.029733827,0.03,100.47,0,0,1,-3.506557897
4,SB_VR_VHCA,0.03069721,0.03,103.72,0,1,1,-3.506557897
5,SB_VR_VHCA,0.032749717,0.03,110.66,0,1,1,-3.506557897
6,SB_VR_VHCA,0.050103813,0.05,169.29,0,1,1,-2.995732274
7,R_HCA_VSB,0.067598248,0.07,228.41,1,0,1,-2.659260037
8,R_HCA_VSB,0.076612907,0.08,258.87,1,0,1,-2.525728644
9,R_HCA_VSB,0.096671417,0.1,326.64,1,0,1,-2.302585093
10,R_HCA_SB,0.046226264,0.05,156.19,1,1,1,-2.995732274
11,R_HCA_SB,0.083176361,0.08,281.04,1,1,1,-2.525728644
12,R_HCA_SB,0.079350722,0.08,268.12,1,1,1,-2.525728644
13,VR_VHCA_VSB,0.041095643,0.04,79.56,0,0,2,-3.218875825
14,VR_VHCA_VSB,0.048595353,0.05,94.08,0,0,2,-2.995732274
15,VR_VHCA_VSB,0.065273045,0.07,126.36,0,0,2,-2.659260037
16,SB_VR_VHCA,0.032212644,0.03,62.36,0,1,2,-3.506557897
17,SB_VR_VHCA,0.039428187,0.04,76.33,0,1,2,-3.218875825
18,SB_VR_VHCA,0.055522667,0.06,107.49,0,1,2,-2.813410717
19,R_HCA_VSB,0.092656714,0.09,179.38,1,0,2,-2.407945609
20,R_HCA_VSB,0.082309646,0.08,159.35,1,0,2,-2.525728644
21,R_HCA_VSB,0.091933533,0.09,177.98,1,0,2,-2.407945609
22,R_HCA_SB,0.042420746,0.04,82.12,1,1,2,-3.218875825
23,R_HCA_SB,0.084628642,0.08,163.84,1,1,2,-2.525728644
24,R_HCA_SB,0.038242238,0.04,74.03,1,1,2,-3.218875825
25,VR_VHCA_VSB,0.111442149,0.11,88.93,0,0,3,-2.207274913
26,VR_VHCA_VSB,0.128011364,0.13,102.15,0,0,3,-2.040220829
27,VR_VHCA_VSB,0.136480782,0.14,108.91,0,0,3,-1.966112856
28,SB_VR_VHCA,0.184467362,0.18,147.21,0,1,3,-1.714798428
29,SB_VR_VHCA,0.100056062,0.1,79.85,0,1,3,-2.302585093
30,SB_VR_VHCA,0.200028894,0.2,159.63,0,1,3,-1.609437912
31,R_HCA_VSB,0.472675144,0.47,377.2,1,0,3,-0.755022584
32,R_HCA_VSB,0.415975081,0.42,331.95,1,0,3,-0.867500568
33,R_HCA_VSB,0.445166749,0.45,355.25,1,0,3,-0.798507696
34,R_HCA_SB,0.369029235,0.37,294.49,1,1,3,-0.994252273
35,R_HCA_SB,0.448991844,0.45,358.3,1,1,3,-0.798507696
36,R_HCA_SB,0.35598721,0.36,284.08,1,1,3,-1.021651248
37,VR_VHCA_VSB,0.0329413,0.03,73.29,0,0,4,-3.506557897
38,VR_VHCA_VSB,0.037847516,0.04,84.21,0,0,4,-3.218875825
39,VR_VHCA_VSB,0.064042841,0.06,142.5,0,0,4,-2.813410717
40,SB_VR_VHCA,0.047262959,0.05,105.16,0,1,4,-2.995732274
41,SB_VR_VHCA,0.032204556,0.03,71.66,0,1,4,-3.506557897
42,SB_VR_VHCA,0.044891303,0.04,99.88,0,1,4,-3.218875825
43,R_HCA_VSB,0.081095909,0.08,180.44,1,0,4,-2.525728644
44,R_HCA_VSB,0.090009605,0.09,200.27,1,0,4,-2.407945609
45,R_HCA_VSB,0.084664776,0.08,188.38,1,0,4,-2.525728644
46,R_HCA_SB,0.078805063,0.08,175.34,1,1,4,-2.525728644
47,R_HCA_SB,0.127471293,0.13,283.62,1,1,4,-2.040220829
48,R_HCA_SB,0.125263867,0.13,278.71,1,1,4,-2.040220829